Nombre,Articulos,Actual,Pais,Anterior,Year-Publication,Citaciones,H-index,Profile
Dr. Jose de la Fuente ,838,"Instituto de Investigación en Recursos Cinegéticos, IREC",España,CIGB,1987,32265,80,https://scholar.google.com/citations?user=Cu4qOlgAAAAJ
Dr. Yamir Moreno,282,Universidad de Zaragoza,España,Universidad Marta Abreu,1996,31541,67,https://scholar.google.co.uk/citations?user=6op9oBMAAAAJ
Dr. Ernesto Estrada,277,University of Zaragoza,España,Universidad Marta Abreu,1993,13185,60,https://scholar.google.com/citations?user=X0zSDpcAAAAJ&hl=es
Dr. Pedro A. Valdes-Sosa,476,Neurociencias ,Cuba ,Neurociencias,1977,9493,52,https://scholar.google.com/citations?hl=en&user=0M2PVJIAAAAJ
Dr. Humberto Gonzalez Diaz,303,Univ. of Basque Country UPV/EHU,España,Universidad Marta Abreu,2000,9400,59,https://scholar.google.com/citations?hl=es&user=5lKu31YAAAAJ
Dr. Annia Galano,228,UNAM,Mexico,Universidad de la Havana,1992,8989,50,https://scholar.google.com/citations?user=Bpd6j9AAAAAJ
Dr. Yasset Perez-Riverol,84,EMBL-EBI,Inglaterra,Universidad de la Havana,2008,7018,24,https://scholar.google.com/citations?user=WiaZQfkAAAAJ
Dr. Calixto Machado,346,Instituto de Neurologia ,Cuba ,Instituto de Neurologia ,1984,6091,29,https://scholar.google.com/citations?hl=en&user=XplQXn4AAAAJ
Dr. René Delgado Hernández,390,Universidad de la Havana,Cuba,Universidad de la Havana,1981,5828,45,https://scholar.google.es/citations?hl=es&user=5i1Fgo8AAAAJ
Dr. Yovani Marrero Ponce,274,"Universidad San Francisco de Quito (USFQ), Quito, Ecuador",Ecuador,Univesrdidad Marta Abreu,1999,4972,42,https://scholar.google.com/citations?user=rsbUYyEAAAAJ
Dr. Reynaldo Villalonga,200,Universidad Computense de Madrid,España,Universidad Marta Abreu,1995,4935,39,https://scholar.google.com/citations?user=orAzfiQAAAAJ
Dr. Rolando Perez,178,CIM,Cuba,CIM,1981,4713,38,https://www.researchgate.net/profile/Rolando_Perez2
